fname|hd_leaves|hd_pages|hd_type|hd_script|div_rend|div_rendition|div_type
d19381123_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
d19381208_kantorowicz_stein.xml|1 Bl.|1 S.|lt|ms|pc|1 Bl., 1 S.|ms
d19381210_kantorowicz_salin.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19381213_kantorowicz_salin.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19381217_kantorowicz_salin.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19381217_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
d19381231_kantorowicz_haring.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d1938XXXX_kantorowicz_langlotz.xml|||lt|ms|ms||pc
d1938XXXX_kantorowicz_powicke.xml|1 Bl.|1 S.|lt|ms|ms|1 Bl., 1 S.|lt
d19390113_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ts|lt|1 Bl., 2 S.|ts
d19390120_kantorowicz_langlotz.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19390203_kantorowicz_bernstorff.xml|1 Bl.|1 S.|pc|ms|ms; 1 Bl., 1 S.||pc
d19390215_kantorowicz_flexner.xml|2 Bl.|2 S.|lt|ts|ts;2 Bl., 2 S.||lt
d19390224_kantorowicz_bernstorff.xml|2 Bl.|x S.|lt|ts|ts; 2 Bl., x S.||lt
d19390225_kantorowicz_bowra.xml|3 Bl.|3 S.|lt|ts|ts;3 Bl., 3 S.||lt
d19390313_kantorowicz_bowra.xml|2 Bl.|2 S.|lt|ts|ts;2 Bl., 2 S.||lt
d19390316_kantorowicz_bowra.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19390327_kantorowicz_bowra.xml|2 Bl.|2 S.|lt|ts|ts;2 Bl., 2 S.||lt
d19390507_kantorowicz_frankfurter.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19390510_kantorowicz_frankfurter.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19390529_kantorowicz_bowra.xml|2 Bl.|3 S.|lt|ts|ts;2 Bl., 3 S.||lt
d19390606_kantorowicz_bowra.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19390621_kantorowicz_bowra.xml|2 Bl.|2 S.|lt|ts|ts;2 Bl., 2 S.||lt
d19390629b_kantorowicz_flexner.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19390629_kantorowicz_drury.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19390629_kantorowicz_flexner.xml|2 Bl.|2 S.|lt|ts|ts;2 Bl., 2 S.||lt
